id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
5532164,600.0,3200.0,,800.0,,6,0.0,4,1125,True,0,0,0,223,2015-11-07
7989817,60.0,,,,,1,0.0,1,7,True,2,11,11,32,2015-11-07
3959365,99.0,,,,110.0,1,0.0,2,160,True,15,45,75,335,2015-11-07
6215403,110.0,,,,,1,0.0,1,1125,True,0,5,35,310,2015-11-07
2386616,100.0,,,300.0,,2,25.0,3,1125,True,0,5,35,310,2015-11-07
8776697,9075.0,,,5100.0,550.0,1,0.0,2,10,True,28,58,88,363,2015-11-07
27632,125.0,575.0,1850.0,,50.0,2,0.0,3,730,True,7,23,53,325,2015-11-07
5755416,135.0,975.0,3250.0,400.0,85.0,2,125.0,2,1125,True,0,3,33,123,2015-11-07
7237000,139.0,,,250.0,70.0,2,50.0,2,365,True,7,30,41,48,2015-11-07
5482391,1850.0,,,500.0,150.0,1,0.0,2,7,True,6,6,6,233,2015-11-07
8416936,200.0,,,,,1,0.0,2,3,True,1,1,1,25,2015-11-07
9236420,299.0,,,500.0,100.0,2,0.0,2,1125,True,15,33,41,136,2015-11-07
4223093,500.0,,4300.0,100.0,100.0,1,0.0,30,45,True,0,0,0,273,2015-11-07
8828555,150.0,,,300.0,25.0,1,0.0,1,1125,True,8,21,41,316,2015-11-07
356675,1050.0,6500.0,,1050.0,100.0,7,125.0,3,14,True,30,60,90,365,2015-11-07
8581497,100.0,,,100.0,25.0,1,0.0,1,1125,True,0,0,0,16,2015-11-07
2257304,349.0,,,700.0,70.0,4,25.0,1,1125,True,30,60,90,365,2015-11-07
62279,249.0,,,500.0,120.0,4,50.0,3,270,True,30,60,90,365,2015-11-07
7074646,499.0,3999.0,14999.0,,,1,0.0,1,1125,True,20,50,80,354,2015-11-07
4092834,175.0,,,125.0,,2,25.0,1,7,True,7,14,22,62,2015-11-07
1274816,110.0,695.0,,150.0,50.0,1,0.0,2,1125,True,5,21,21,238,2015-11-07
5239779,500.0,3150.0,,,30.0,1,0.0,2,10,True,0,0,0,252,2015-11-07
5133146,2549.0,,,,275.0,1,0.0,2,1125,True,25,50,80,355,2015-11-07
1668169,650.0,4200.0,,250.0,50.0,1,0.0,5,8,True,30,60,90,365,2015-11-07
332648,1665.0,11655.0,,,100.0,1,0.0,7,14,True,30,60,90,365,2015-11-07
5469392,240.0,1700.0,,200.0,30.0,1,0.0,2,1125,True,0,0,0,228,2015-11-07
685361,1250.0,8500.0,17500.0,1500.0,250.0,8,125.0,2,30,True,30,52,82,357,2015-11-07
5272963,295.0,,,250.0,150.0,1,0.0,2,1125,True,20,42,72,312,2015-11-07
9128327,100.0,3000.0,,200.0,50.0,1,0.0,2,1125,True,3,3,3,3,2015-11-07
416757,402.0,,6900.0,500.0,100.0,8,0.0,2,10,True,0,0,0,172,2015-11-07
8420131,160.0,1300.0,2750.0,95.0,50.0,2,0.0,2,14,True,0,5,28,118,2015-11-07
4041185,85.0,,,350.0,70.0,2,25.0,2,1125,True,22,52,82,172,2015-11-07
4881295,600.0,900.0,3500.0,1500.0,90.0,1,0.0,1,1125,True,0,0,0,98,2015-11-07
2391170,350.0,1700.0,,150.0,50.0,2,25.0,1,1125,True,30,60,90,365,2015-11-07
8626001,699.0,,,,179.0,1,0.0,2,1125,True,0,0,0,56,2015-11-07
720089,900.0,6500.0,19000.0,1000.0,300.0,3,250.0,25,30,True,30,60,90,365,2015-11-07
5242421,700.0,4200.0,,100.0,100.0,6,50.0,2,1125,True,30,60,90,365,2015-11-07
5537653,200.0,,,200.0,25.0,1,0.0,1,1125,True,27,52,52,274,2015-11-07
8626202,125.0,,,,,1,0.0,1,1125,True,26,56,86,355,2015-11-07
7020344,700.0,,,500.0,200.0,1,0.0,3,30,True,26,56,86,351,2015-11-07
4144035,500.0,,,,,1,0.0,4,10,True,30,60,90,365,2015-11-07
