id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
8549096,$109.00,,,,,1,$0.00,1,1125,t,29,59,89,364,2015-11-07
78831,$119.00,$599.00,"$1,179.00",,,2,$10.00,2,14,t,21,51,81,349,2015-11-07
8293868,$300.00,,,,,1,$0.00,2,1125,t,27,57,87,362,2015-11-07
5669646,$280.00,"$1,700.00","$3,500.00",,$100.00,8,$15.00,2,1125,t,30,56,86,361,2015-11-07
4256978,$250.00,"$1,600.00",,$150.00,$100.00,2,$15.00,4,9,t,0,0,7,282,2015-11-07
2269629,$800.00,,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
6870646,$125.00,$600.00,"$1,800.00",$150.00,$75.00,1,$0.00,2,1125,t,0,0,0,241,2015-11-07
5131687,$29.00,,,,,1,$0.00,20,30,t,0,0,0,216,2015-11-07
8112770,$161.00,"$1,100.00",,$150.00,,0,$0.00,2,21,t,13,32,62,337,2015-11-07
5579507,$175.00,,,$200.00,,0,$0.00,1,1125,t,0,0,0,218,2015-11-07
1896500,$85.00,$550.00,"$1,275.00",$100.00,$20.00,3,$10.00,4,1125,t,0,0,0,219,2015-11-07
7112420,$150.00,,,,,1,$0.00,3,21,t,12,12,12,93,2015-11-07
