id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
2722858,13933587,LaShawn,2014-04-05,"Austin, Texas, United States",within a day,0.7,0.4,False,Allendale,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",True,True
1850056,7695107,Dawn,2013-07-24,"Austin, Texas, United States",,,,False,Rosedale,1.0,"['email', 'phone', 'reviews', 'kba']",True,True
8301191,43768510,Dorothy,2015-09-09,"Austin, Texas, United States",,,1.0,False,Brentwood,1.0,"['email', 'phone', 'facebook']",True,True
6463905,33666377,Caleb,2015-05-18,"Austin, Texas, United States",,,,False,Brentwood,3.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",True,True
5576522,28913211,Jessica,2015-03-07,"Austin, Texas, United States",within an hour,1.0,1.0,False,Brentwood,1.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,True
627784,2194671,Louie,2012-04-22,"Austin, Texas, United States",within a few hours,1.0,0.5,False,Rosedale,2.0,"['email', 'phone', 'reviews', 'jumio']",True,True
528160,2595087,Sinclair,2012-06-10,US,,,,False,Allendale,1.0,"['email', 'phone']",True,True
362460,1831617,Chris,2012-02-29,US,,,,False,Allendale,1.0,"['email', 'phone']",True,True
5309717,21597290,Sofia,2014-09-21,"Austin, Texas, United States",within an hour,1.0,1.0,False,Brentwood,4.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",True,True
5641626,29237885,Scott,2015-03-12,US,within a day,0.9,0.93,True,Allendale,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,True
312499,1606567,Brooke,2012-01-14,"Austin, Texas, United States",,,,False,Brentwood,1.0,"['email', 'phone', 'reviews']",True,True
5543526,18890567,Stephanie,2014-07-25,"Austin, Texas, United States",within an hour,1.0,0.92,True,,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
5455707,27950887,Jonn,2015-02-18,"Austin, Texas, United States",within an hour,1.0,0.98,True,,5.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,True
5768100,27950887,Jonn,2015-02-18,"Austin, Texas, United States",within an hour,1.0,0.98,True,,5.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,True
8627429,38866732,Jessica,2015-07-18,,,,,False,,1.0,['phone'],True,True
